,Date of Failure,Startup,Idea,Reason for Failure,Full Story,Founder
0, July 2018,Oratio,"Oratio helps businesses to connect with their customers on messengers like WhatsApp, Facebook Messenger, Telegram and others through personal conversations and chatbots",Too much dependency on other platforms,From hero to zero — closing my 3rd startup,@pichsenmeister
1, May 2018,Knowmads.capetown,Leadership programmes,Legal and Financial constraints,Thanks for being my first ,
2, March 2018,Shyp,Provides shipping services that ranges from picking-up the package to delivering it to the destination.,Wrong target audience ,I Can’t Wait for You to See What We Do Next by Founder ,@kevingibbon
3, January 2018,Kaitek,"Kaitek developed bacterial sensors for food safety. The first product: a rapid detection kit for shellfish toxicity, based on synthetic biology.",Technology couldn't scale properly,An autopsy for my first startup,@emiliadiazCL
4, January 2018,Pepup World,"Connecting local retail shops with nearby customers, later on pivoted on niche segment, then closed",Market in India was not ready,Case study on Pepupworld.com,
5, January 2018,Hubrif,Hubrif was an online distributor of African short films and a one-stop film festival submission gateway platform for African filmmakers,"Founders constant disagreement over management duties, small market size and users as well as failure to find ways to monetize.","... And finally, its time to go home.",@hubrif
6,December 2017,Vidme,Video sharing platform,Couldn’t find a path to sustainability,Goodbye for now,@wwshaef
7, November 2017,Sharkius,"Sharkius Games was an internet games company based in London UK, which aimed to create engaging and meaningful social experiences.","Some fatal mistakes when hiring employees and managing the team, as well as lack of marketing experience, were the causes of its failure.",From $80k/month to failure: How Sharkius bit off more than it could chew,@simplydt
8, October 2017,Walnut,A better moving company,Great user experience came at the cost of poor unit economics,Why we're closing Walnut,@nickbkim
9, September 2017,Juicero,Inventor of the first home cold-pressed juicing system,No Sustainable Business Model,Silicon Valley’s $400 Juicer May Be Feeling the Squeeze,@iamdougevans
10, September 2017,ReadByHumans,"Converted articles, in to human-read audio on demand.",Economics of the business did not work.,"How I in-validated a business idea in 3 months with little code, while traveling the world ",@ksaitor
11, July 2017,Washio,Washio was an on-demand laundry service,"Thin margins, quality service issues, and fierce competition from similar startups.",Why did Washio fail?,@mrjmetz
12, July 2017,Yik Yak,Yik Yak is a location-based social network that helps you connect with the people around you.,struggled to keep users on its platform,The Yik Yak App is Officially Dead,
13, May 2017,Sprig,Sprig is an online app provides healthy organic meals delivered in 15 minutes.,the complexity of owning meal production through delivery at scale was a challenge.,7 startups that were massively funded that died in 2017,
14, March 2016,Quanttus,Not the founder. Looks like blood pressure on the wrist.,Product failure,Health-Tracking Startup Fails to Deliver on Its Ambitions,@Shahid_Azim
15, February 2017,Echelon Exchange,algorithmic online stock exchange  ,"Lack of passion, no SWOT analysis, regulatory concerns, overly complex, revolutionary doesn't equal value",why my startup failed,
16, January 2017,RethinkDB,NoSQL database,Picked a terrible market and optimized the product for the wrong metrics of goodness.,RethinkDB: why we failed,@spakhm
17, November 2016,Gigger,"Online gig booking system for bands, promoters, and venues.",Market resistance and not enough customer development,Post Mortem: Gigger Rocked,@antman261
18, October 2016,Spinvite,Event invitation and sharing,Spent entire seed fund on fancy development of untested product.,Spinvite - The Party's Over,@ohmygodrey
19, September 2016,Fuhu,Childrens tablets and apps.,Slim profit margins that couldn't cover overhead., The Swift Rise--and Fall--of America's One-Time Fastest-Growing Company,
20, August 2016,GamersTube.com,First HD cross-compatible video host just for gamers. ,"lack of investment, heavily competitive environment","The story of a live game streaming network that ran from 2006 but closed in 2013, a year before Twitch, which started in 2011, sold to Amazon for $970 million. ""Pioneers get slaughtered and the settlers proper""",@youngbloodjoe
