,Company,Link,Pitch,Joined,Location,Market,Website,Employees,Stage,Total_raised
0,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
1,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
2,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
3,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
4,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
5,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
6,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
7,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
8,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
9,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
10,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
11,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
12,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
13,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
14,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
15,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
16,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
17,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
18,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
19,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
20,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
21,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
22,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
23,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
24,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
25,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
26,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
27,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
28,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
29,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
30,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
31,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
32,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
33,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
34,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
35,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
36,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
37,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
38,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
39,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
40,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
41,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
42,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
43,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
44,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
45,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
